Id,SalePrice
1461,132062.91887404743
1462,153648.34740831933
1463,186335.49774362377
1464,190469.48803587208
1465,203450.49865577306
1466,182387.93685765401
1467,178193.3526459284
1468,182838.04593870134
1469,199585.84533183541
1470,131053.11142280324
1471,204344.40481963963
1472,102769.72969340242
1473,117379.54721323802
1474,169476.48924417907
1475,133740.43449378674
1476,365714.2815696468
1477,258543.60872415052
1478,294339.4486521928
1479,251330.66236729227
1480,427513.1604120897
1481,298518.8159951296
1482,209330.45642346377
1483,181037.27421906716
1484,179066.00482038743
1485,170654.58046840172
1486,209292.5019719078
1487,316101.7984575207
1488,257980.08716314984
1489,197319.5092099544
1490,205935.52461678878
1491,196134.3225642346
1492,119975.26990771011
1493,181652.6355096205
1494,302952.411522218
1495,289309.0513273489
1496,233438.3210197995
1497,203803.22221029163
1498,168675.86371742078
1499,169139.17644830348
1500,163288.935021091
1501,182710.88596044932
1502,164383.89654473457
1503,277782.05604631134
1504,240490.66803505542
1505,223675.5622543181
1506,197263.55625725776
1507,248879.2235230662
1508,201375.294834208
1509,168201.42693241933
1510,155052.23694345276
1511,155212.39847769163
1512,179279.44864670158
1513,167276.92933361445
1514,189857.09374931964
1515,207690.145331535
1516,164706.59588168928
1517,148164.06645994415
1518,160713.16297335745
1519,226141.17984363646
1520,139554.0678012754
1521,143010.437168931
1522,169032.54589712666
1523,116525.32549907784
1524,125236.05493606596
1525,129453.9466444009
1526,126542.14442979525
1527,117572.56858420972
1528,133539.15132858927
1529,152221.16554992285
1530,172826.6786506774
1531,128948.37573345829
1532,110911.06925828588
1533,149922.50325337137
1534,125354.19020165264
1535,166182.11451354084
1536,125732.04081494738
1537,97315.5963624625
1538,174959.60570551045
1539,244625.9152813639
1540,149085.4921206475
1541,172130.45677661448
1542,157802.8620027725
1543,215015.54596414205
1544,92731.09303153837
1545,123913.81434239297
1546,127334.07204444744
1547,158261.8671527855
1548,140095.2100623617
1549,122573.18550668533
1550,159614.14643402287
1551,132740.7325369153
1552,143787.27166915708
1553,134945.53244667413
1554,117809.10134449034
1555,167804.7564253975
1556,113504.96784774424
1557,140316.97119101768
1558,114490.16092635892
1559,122493.24106698782
1560,153487.64898327054
1561,165473.73083026378
1562,132111.919763993
1563,123208.20216325969
1564,155269.845603188
1565,158808.70947331493
1566,224348.93538774014
1567,101773.32349948448
1568,215310.5538994835
1569,157752.70260996267
1570,129170.32891068146
1571,141313.0846386234
1572,146195.43585193908
1573,250944.88252766454
1574,153077.09553552556
1575,213749.46000032884
1576,213852.81399927463
1577,198137.89007840276
1578,161115.96856574345
1579,147212.88651807792
1580,209571.45363730734
1581,136534.69694666506
1582,134588.3222635162
1583,341684.53053518804
1584,244752.67819175386
1585,143670.916089629
1586,82649.48828283626
1587,111410.61698224161
1588,142838.49614429814
1589,119460.3321419135
1590,140605.06577051725
1591,105102.21778634087
1592,136012.17230992604
1593,121848.34843686697
1594,142519.63986860018
1595,141981.37462129723
1596,215850.41271209726
1597,188319.88233534037
1598,185596.16930886506
1599,179235.7197693448
1600,202379.76593345663
1601,81155.0905993911
1602,128194.91054353157
1603,105810.45690138373
1604,277806.85401574
1605,261969.59412532783
1606,164598.11065801143
1607,208543.8754941294
1608,204329.04677975614
1609,191656.81909557266
1610,172805.59940071093
1611,150139.04912852315
1612,181905.21741445194
1613,181381.37302417698
1614,134119.80293280436
1615,99144.40748845524
1616,98584.18419597113
1617,116817.63193841398
1618,120768.74630216048
1619,133540.99903573067
1620,203028.6598505414
